arrival_time,wait_time
15:16:36,00:10:18
15:16:59,00:10:38
15:17:42,00:10:27
15:18:37,00:11:29
15:18:56,00:14:58
15:18:59,00:13:18
15:19:15,00:14:48
15:19:57,00:17:09
15:20:15,00:18:58
15:21:12,N/A
15:21:26,N/A
15:21:43,00:17:41
15:22:11,N/A
15:22:25,N/A
15:25:05,00:17:20
15:25:07,00:15:51
15:25:12,N/A
15:25:16,N/A
15:26:38,N/A
15:27:42,00:17:09
15:28:18,00:15:31
15:28:21,00:18:35
15:28:33,N/A
15:29:13,N/A
15:30:42,00:18:36
15:30:46,N/A
15:31:10,N/A
15:33:00,00:15:07
15:33:46,N/A
15:34:04,00:17:14
15:34:59,00:15:26
15:35:21,N/A
15:36:10,N/A
15:36:19,N/A
15:37:20,00:16:51
15:37:24,N/A
15:37:42,N/A
15:39:03,N/A
15:39:06,N/A
15:39:10,N/A
15:41:42,00:13:11
15:41:52,00:15:05
15:42:07,00:16:50
15:42:39,00:16:04
15:43:39,N/A
15:43:54,00:17:17
15:44:08,N/A
15:45:08,00:17:03
15:45:19,N/A
15:45:33,N/A
15:46:24,N/A
15:46:49,N/A
15:47:02,00:15:22
15:48:50,00:14:33
15:49:41,00:17:45
15:50:01,N/A
15:51:05,00:14:03
15:51:41,00:14:07
15:52:26,N/A
15:52:55,N/A
15:53:17,N/A
15:53:33,N/A
15:54:22,00:16:33
15:54:28,N/A
15:54:50,N/A
15:54:56,00:17:06
15:55:08,N/A
15:55:33,N/A
15:55:35,N/A
15:57:34,00:16:14
15:57:43,N/A
15:58:45,00:19:05
16:00:57,00:14:09
16:01:15,00:19:44
16:01:31,N/A
16:02:05,N/A
16:02:19,00:16:21
16:02:31,00:17:50
16:02:44,N/A
16:03:50,N/A
16:03:50,00:20:27
16:03:53,N/A
16:05:58,00:18:05
16:06:30,00:19:48
16:06:44,N/A
16:07:23,N/A
16:07:41,00:21:26
16:08:04,N/A
16:09:57,N/A
16:10:30,N/A
16:12:25,00:18:15
16:15:40,00:15:43
16:15:53,00:16:22
16:16:00,00:16:45
16:16:16,N/A
16:17:25,N/A
16:17:32,N/A
16:17:41,N/A
16:17:45,N/A
16:18:07,00:17:52
16:18:20,N/A
16:19:04,00:15:29
16:19:51,N/A
16:20:22,00:16:45
16:20:53,N/A
16:21:17,00:16:51
16:21:52,N/A
16:25:17,00:14:09
16:25:33,00:15:11
16:25:58,N/A
16:26:41,00:14:04
16:27:02,N/A
16:27:09,N/A
16:27:55,N/A
16:28:58,N/A
16:29:51,00:13:46
16:30:04,N/A
16:30:51,00:27:20
16:31:21,N/A
16:31:24,00:14:06
16:31:39,N/A
16:31:56,N/A
16:32:15,N/A
16:32:44,00:16:43
16:32:49,00:18:15
16:36:02,00:18:13
16:36:48,00:18:55
16:37:58,00:20:19
16:41:25,00:18:42
16:41:56,00:20:36
16:42:09,00:19:35
16:44:15,00:19:28
16:44:19,00:19:48
16:46:02,00:20:16
16:48:00,N/A
16:49:16,N/A
16:49:40,00:15:19
16:50:01,N/A
16:50:41,N/A
16:50:49,N/A
16:51:02,N/A
16:52:35,00:14:39
16:52:37,N/A
16:55:40,00:12:54
16:58:23,00:10:12
16:59:09,00:13:57
16:59:30,00:11:43
16:59:49,N/A
17:00:29,00:14:17
17:03:28,00:11:25
17:05:21,00:11:30
17:05:23,00:13:06
17:06:32,00:12:56
17:07:29,00:15:54
17:07:58,00:12:48
17:07:59,00:15:50
17:09:15,00:16:30
17:09:24,00:16:09
17:09:45,N/A
17:13:13,00:14:48
17:14:00,00:15:00
17:15:44,00:16:56
17:15:58,00:15:07
17:16:20,N/A
17:17:16,00:15:33
17:18:44,00:15:28
17:18:49,N/A
17:18:56,N/A
17:19:13,N/A
17:19:27,N/A
17:19:51,00:14:31
17:20:13,N/A
