customer_group_id,group_size,entry_time,queue_wait_time,service_start_time,service_time
70,1,11:36:46,00:00:00,00:00:00,00:00:00
75,2,11:37:15,00:00:00,00:00:00,00:00:00
72,3,11:37:16,00:00:00,00:00:00,00:00:00
77,2,11:37:29,00:00:00,00:00:00,00:00:00
69,1,11:37:58,00:00:00,00:00:00,00:00:00
80,1,11:38:29,00:00:00,00:00:00,00:00:00
67,1,11:38:37,00:00:00,00:00:00,00:00:00
84,2,11:39:21,00:00:00,00:00:00,00:00:00
76,3,11:39:23,00:00:00,00:00:00,00:00:00
79,3,11:39:28,00:00:00,00:00:00,00:00:00
96,3,11:40:32,00:00:00,00:00:00,00:00:00
97,1,11:40:57,00:00:00,00:00:00,00:00:00
102,1,11:41:00,00:00:00,00:00:00,00:00:00
93,1,11:41:23,00:00:00,00:00:00,00:00:00
103,2,11:41:38,00:00:00,00:00:00,00:00:00
89,3,11:42:47,00:00:00,00:00:00,00:00:00
104,5,11:43:07,00:00:00,00:00:00,00:00:00
94,3,11:44:17,00:00:00,00:00:00,00:00:00
95,1,11:45:54,00:00:00,00:00:00,00:00:00
98,1,11:46:35,00:00:00,00:00:00,00:00:00
100,2,11:46:47,00:00:00,00:00:00,00:00:00
99,3,11:47:24,00:00:00,00:00:00,00:00:00
92,3,11:48:35,00:00:00,00:00:00,00:00:00
91,2,11:49:25,00:00:00,00:00:00,00:00:00
101,2,11:49:44,00:00:00,00:00:00,00:00:00
90,1,11:49:46,00:00:00,00:00:00,00:00:00
115,1,11:50:08,00:00:00,00:00:00,00:00:00
114,2,11:51:09,00:00:00,00:00:00,00:00:00
105,3,11:51:25,00:00:00,00:00:00,00:00:00
118,3,11:52:01,00:00:00,00:00:00,00:00:00
111,2,11:52:15,00:00:00,00:00:00,00:00:00
109,2,11:52:36,00:00:00,00:00:00,00:00:00
113,1,11:53:22,00:00:00,00:00:00,00:00:00
112,2,11:53:44,00:00:00,00:00:00,00:00:00
108,1,11:54:03,00:00:00,00:00:00,00:00:00
106,1,11:56:08,00:00:00,00:00:00,00:00:00
116,1,11:56:27,00:00:00,00:00:00,00:00:00
110,2,11:57:12,00:00:00,00:00:00,00:00:00
107,3,11:57:38,00:00:00,00:00:00,00:00:00
